time_stamp,actuator_state
1624688203.37584,fan_on
1624688203.58888,fan_off
1624688329.57796,fan_on
1624688329.75188,fan_off
1624688457.55959,fan_on
1624688457.69315,fan_off
1624688616.85701,fan_on
1624688617.09474,fan_off
1624688722.18105,fan_on
1624688722.33091,fan_off
1624688725.88291,fan_on
1624688726.05194,fan_off
1624688922.07411,fan_on
1624688922.21031,fan_off
1624688922.77961,fan_on
1624688925.34636,fan_off
1624688956.67587,fan_on
1624688956.82141,fan_off
1624689004.16553,fan_on
1624689004.29344,fan_off
1624689095.72629,fan_on
1624689095.8761,fan_off
1624689202.55878,fan_on
1624689202.70843,fan_off
1624689525.54023,fan_on
1624689525.70734,fan_off
1624689526.43784,light_on
1624689526.62353,light_off
1624689801.32556,fan_on
1624689801.44965,fan_off
1624689835.99457,fan_on
1624689836.13229,fan_off
1624689836.22325,fan_on
1624689836.69496,fan_off
1624689837.11783,fan_on
1624689837.27891,fan_off
1624689837.40878,fan_on
1624689838.09917,fan_off
1624689838.25033,fan_on
1624689838.36491,fan_off
1624689838.55361,fan_on
1624689838.64956,fan_off
1624689838.78532,fan_on
1624689839.26424,fan_off
1624689839.42738,fan_on
1624689839.55604,fan_off
1624689839.69055,fan_on
1624689840.03438,fan_off
1624689840.19335,fan_on
1624689840.34008,fan_off
1624689840.47211,fan_on
1624689840.84978,fan_off
1624689841.02026,fan_on
1624689841.14924,fan_off
1624689841.33486,fan_on
1624689841.72322,fan_off
1624689841.8776,fan_on
1624689842.02427,fan_off
1624689842.1639,fan_on
1624689842.54238,fan_off
1624690840.05708,fan_on
1624690840.15264,fan_off
1624691121.5262,fan_on
1624691121.7255,fan_off
1624691121.86087,fan_on
1624691122.35115,fan_off
1624691122.75212,fan_on
1624691122.93195,fan_off
1624691123.10037,fan_on
1624691123.93186,fan_off
1624691321.22506,fan_on
1624691321.36309,fan_off
1624691321.84517,fan_on
1624691322.03504,fan_off
1624691510.0559,fan_on
1624691510.28636,fan_off
1624691633.12121,fan_on
1624691633.22128,fan_off
1624691634.00304,fan_on
1624691634.17182,fan_off
1624692722.87783,fan_on
1624692722.88533,fan_off
1624692723.34556,fan_on
1624692723.49123,fan_off
1624692723.99982,fan_on
1624692724.13546,fan_off
1624692778.66282,fan_on
1624692778.8147,fan_off
1624692778.96645,fan_on
1624692779.15221,fan_off
1624692779.28561,fan_on
1624692779.57617,fan_off
1624692780.03403,fan_on
1624692780.20416,fan_off
1624692780.40582,fan_on
1624692780.61968,fan_off
1624692781.02047,fan_on
1624692781.38214,fan_off
1624692807.11087,fan_on
1624692808.37857,light_on
1624692809.2854,water_on
1624692810.31672,light_off
1624692810.58524,fan_off
1624692811.57705,water_off
1624692812.53078,uv_on
1624692813.2556,uv_off
1624693118.91559,fan_off
1624693118.91191,fan_on
1624693119.06694,fan_on
1624693119.3592,fan_off
1624693119.53609,fan_on
1624693119.68511,fan_off
1624693119.83211,fan_on
1624693119.97417,fan_off
1624693120.121,fan_on
1624693120.26077,fan_off
1624693120.39557,fan_on
1624693120.77049,fan_off
1624693120.93403,fan_on
1624693121.07457,fan_off
1624693121.19737,fan_on
1624693121.33974,fan_off
1624693121.48287,fan_on
1624693121.61962,fan_off
1624693121.78401,fan_on
1624693126.86975,fan_off
1624693515.42185,water_on
1624693516.36867,light_on
1624693516.91341,fan_on
1624693517.60621,uv_on
1624693556.45402,fan_on
1624693556.64679,fan_off
1624694781.22252,fan_on
1624694782.12099,fan_off
1624694782.50711,fan_on
1624694787.69963,light_on
1624694788.43421,light_off
1624694788.77061,fan_off
1624697977.16482,fan_on
1624697977.65001,fan_off
1624697978.33904,fan_on
1624697979.18542,fan_off
1624697989.22552,fan_on
1624697989.75529,fan_off
1624698035.12536,fan_on
1624698035.88798,fan_off
1624698036.37717,fan_on
1624698037.13912,fan_off
1624698050.11352,light_on
1624698050.71173,light_off
1624698051.35246,water_on
1624698051.86718,water_off
1624698052.50754,uv_on
